ms,T_fast_g,T_slow_g,v_line_mps,leash_m,pwm_state,enc_count,dTdt_gps
3237,0,0,0,0,60,0,0
3337,0.0107,0.0033,0,0.0046,70,53,0
3437,0.0113,0.0054,0.088051,0.014,70,159,0
3537,0.0235,0.0107,0.176103,0.0254,70,289,0.1
3637,0.0947,0.0361,0.176103,0.0374,70,425,0.64
3737,1.9539,0.6318,0.176103,0.0487,70,553,17.6
3837,8.0126,2.8556,0.088051,0.0604,70,687,60.01
3937,12.0362,5.4023,0.088051,0.0718,63,815,41.31
4037,14.6074,7.8642,0,0.0807,60,918,26.49
4137,17.391,10.4199,0,0.0881,60,1001,28.38
4237,18.6179,12.5461,0,0.0947,0,1076,12.55
4337,18.2838,13.9596,0,0.0957,0,1087,-3.29
4438,16.1249,14.366,0,0.0957,0,1087,-21.97
4538,11.8885,13.4819,0,0.0957,0,1087,-43.19
4638,8.6937,12.0851,0,0.0957,0,1087,-32.28
4738,7.6059,10.8973,0.088051,0.096,60,1090,-11.12
4838,7.9032,10.1674,0.088051,0.101,60,1147,3.03
4938,9.2509,10.0225,0.088051,0.1087,60,1235,13.61
5038,11.9698,10.6792,0.088051,0.1175,60,1336,27.74
5138,12.7281,11.2389,0.088051,0.1258,0,1429,7.74
5238,12.8976,11.6641,0,0.1265,0,1437,1.7
5338,12.4299,11.8263,0,0.1265,0,1437,-4.77
5438,10.1202,11.2555,0,0.1265,0,1437,-23.57
5538,8.9567,10.608,0,0.127,60,1442,-11.87
5638,8.8187,10.1521,0,0.1318,60,1498,-1.39
5738,10.2269,10.2588,0,0.1385,60,1573,14.37
5838,13.1661,11.1693,0,0.1441,0,1636,29.99
5938,14.8304,12.1886,0,0.1442,0,1638,16.81
6038,14.097,12.6199,0,0.1442,0,1638,-7.48
6138,11.0759,12.045,0,0.1442,0,1638,-30.83
6238,9.82,11.4103,0,0.1442,0,1638,-12.69
6338,9.545,10.9268,0,0.1442,0,1638,-2.81
6438,9.4363,10.5474,0,0.1451,60,1648,-1.1
6538,9.3588,10.2454,0.088051,0.15,60,1704,-0.79
6638,10.5935,10.4096,0,0.1563,60,1775,12.47
6738,13.433,11.3429,0,0.1609,0,1827,28.97
6838,14.8368,12.3041,0,0.161,0,1829,14.33
6938,13.5235,12.5269,0,0.161,0,1829,-13.27
7038,10.5677,11.8523,0,0.161,0,1829,-30.16
7138,9.2121,11.1076,0,0.161,0,1829,-13.83
7238,9.0187,10.5733,0,0.1625,60,1845,-1.95
7339,8.9846,10.174,0.044026,0.1677,60,1905,-0.35
