time,T_fast_g,T_slow_g,v_line_mps,leash_m,pwm_state,enc_count,dTdt_gps
1758187201.288,0.0000,0.0000,0.000000,0.0000,60,0,0.00
1758187201.308,0.0000,0.0000,0.000000,0.0002,70,2,0.00
1758187201.328,0.0000,0.0000,0.088051,0.0010,70,11,0.00
1758187201.348,0.0000,0.0000,0.000000,0.0019,70,23,0.00
1758187201.368,0.0000,0.0000,0.088051,0.0033,70,38,0.00
1758187201.388,-0.0040,-0.0013,0.000000,0.0048,70,56,0.00
1758187201.408,-0.0040,-0.0013,0.088051,0.0064,70,73,0.00
1758187201.428,-0.0040,-0.0013,0.088051,0.0081,70,92,0.00
1758187201.448,-0.0040,-0.0013,0.088051,0.0097,70,110,0.00
1758187201.468,-0.0040,-0.0013,0.088051,0.0113,70,129,0.00
1758187201.488,-0.0044,-0.0021,0.088051,0.0129,70,146,-0.00
1758187201.508,-0.0044,-0.0021,0.088051,0.0144,70,164,-0.00
1758187201.528,-0.0044,-0.0021,0.088051,0.0158,70,181,-0.00
1758187201.548,-0.0044,-0.0021,0.088051,0.0173,70,197,-0.00
1758187201.568,-0.0044,-0.0021,0.088051,0.0188,70,213,-0.00
1758187201.588,-0.0149,-0.0059,0.088051,0.0202,70,229,-0.09
1758187201.608,-0.0149,-0.0059,0.088051,0.0216,70,245,-0.11
1758187201.628,-0.0149,-0.0059,0.088051,0.0231,70,262,-0.11
1758187201.648,-0.0149,-0.0059,0.088051,0.0244,70,277,-0.11
1758187201.668,-0.0149,-0.0059,0.088051,0.0256,70,291,-0.11
1758187201.689,0.0736,0.0195,0.044026,0.0269,70,306,0.83
1758187201.709,0.0736,0.0195,0.088051,0.0282,70,320,0.90
1758187201.729,0.0736,0.0195,0.088051,0.0294,70,334,0.90
1758187201.749,0.0736,0.0195,0.088051,0.0306,70,347,0.90
1758187201.769,0.0736,0.0195,0.088051,0.0317,70,360,0.90
1758187201.789,5.4941,1.7269,0.088051,0.0327,70,371,52.48
1758187201.809,5.4941,1.7269,0.088051,0.0337,70,383,54.74
1758187201.829,5.4941,1.7269,0.088051,0.0347,70,394,54.75
1758187201.849,5.4941,1.7269,0.088051,0.0357,70,405,54.75
1758187201.869,5.4941,1.7269,0.088051,0.0366,70,416,54.75
1758187202.003,10.1765,6.4777,0.000000,0.0378,60,429,-49.51
1758187202.023,10.1765,6.4777,0.000000,0.0380,60,431,-49.55
1758187202.043,10.1765,6.4777,0.000000,0.0383,60,435,-49.55
1758187202.063,10.1765,6.4777,0.000000,0.0387,60,440,-49.55
1758187202.083,10.6012,7.5352,0.000000,0.0394,60,447,0.21
1758187202.103,10.6012,7.5352,0.000000,0.0402,60,457,4.22
1758187202.123,10.6012,7.5352,0.088051,0.0411,60,467,4.25
1758187202.143,10.6012,7.5352,0.088051,0.0421,60,478,4.25
1758187202.163,10.6012,7.5352,0.000000,0.0431,60,490,4.25
1758187202.183,14.9574,9.6630,0.000000,0.0441,60,502,42.75
1758187202.203,14.9574,9.6630,0.000000,0.0451,60,512,44.32
1758187202.223,14.9574,9.6630,0.000000,0.0461,60,523,44.45
1758187202.244,14.9574,9.6630,0.044026,0.0470,60,534,44.45
1758187202.264,14.9574,9.6630,0.000000,0.0480,60,545,44.45
1758187202.284,13.2981,10.4680,0.088051,0.0491,60,558,-15.84
1758187202.304,13.2981,10.4680,0.000000,0.0502,60,570,-16.92
1758187202.324,13.2981,10.4680,0.088051,0.0513,60,583,-16.93
1758187202.344,13.2981,10.4680,0.088051,0.0524,60,595,-16.93
1758187202.364,13.2981,10.4680,0.088051,0.0534,60,606,-16.93
1758187202.384,11.0133,10.4616,0.088051,0.0543,60,617,-23.23
1758187202.404,11.0133,10.4616,0.088051,0.0553,60,628,-23.31
1758187202.424,11.0133,10.4616,0.000000,0.0562,60,639,-23.31
1758187202.444,11.0133,10.4616,0.088051,0.0574,60,652,-23.31
1758187202.464,11.0133,10.4616,0.088051,0.0589,60,670,-23.31
1758187202.484,9.9361,10.2629,0.088051,0.0605,60,687,-10.90
1758187202.504,9.9361,10.2629,0.000000,0.0618,60,703,-10.77
1758187202.524,9.9361,10.2629,0.088051,0.0631,60,717,-10.77
1758187202.544,9.9361,10.2629,0.088051,0.0638,60,725,-10.77
1758187202.564,9.9361,10.2629,0.088051,0.0644,60,731,-10.77
1758187202.585,9.6860,10.1030,0.000000,0.0646,60,734,-2.60
1758187202.605,9.6860,10.1030,0.000000,0.0646,60,734,-2.46
1758187202.625,9.6860,10.1030,0.000000,0.0646,60,734,-2.45
1758187202.645,9.6860,10.1030,0.000000,0.0646,60,734,-2.45
1758187202.665,15.0344,11.6701,0.000000,0.0646,0,734,23.78
1758187202.685,15.0344,11.6701,0.000000,0.0645,0,732,57.17
1758187202.705,15.0344,11.6701,0.000000,0.0645,0,732,57.51
1758187202.725,15.0344,11.6701,0.000000,0.0645,0,732,57.51
1758187202.745,15.0344,11.6701,0.000000,0.0645,0,732,57.51
1758187202.765,26.4480,16.0780,0.000000,0.0645,-140,732,90.91
1758187202.785,26.4480,16.0780,-0.088051,0.0637,-89,723,115.11
1758187202.805,26.4480,16.0780,-0.088051,0.0621,-89,705,115.29
1758187202.825,26.4480,16.0780,0.000000,0.0615,-89,698,115.29
1758187202.845,26.4480,16.0780,-0.176103,0.0609,-89,692,115.29
1758187202.865,28.0816,19.1810,-0.176103,0.0578,-96,656,40.07
1758187202.885,28.0816,19.1810,-0.176103,0.0543,-96,616,16.98
1758187202.905,28.0816,19.1810,-0.176103,0.0509,-96,577,16.67
1758187202.925,28.0816,19.1810,-0.176103,0.0469,-96,532,16.67
1758187202.945,28.0816,19.1810,0.000000,0.0441,-96,501,16.67
1758187202.965,21.7972,19.4422,-0.176103,0.0424,0,480,-53.34
1758187202.985,21.7972,19.4422,-0.176103,0.0381,0,432,-63.98
1758187203.005,21.7972,19.4422,-0.176103,0.0342,0,387,-64.12
1758187203.025,21.7972,19.4422,-0.176103,0.0307,0,348,-64.13
1758187203.045,21.7972,19.4422,0.000000,0.0290,-140,329,-64.13
1758187203.065,13.8658,17.5524,-0.176103,0.0273,0,309,-78.51
1758187203.085,13.8658,17.5524,-0.176103,0.0248,0,281,-80.09
1758187203.105,13.8658,17.5524,-0.088051,0.0219,0,248,-80.11
1758187203.125,13.8658,17.5524,-0.088051,0.0193,0,218,-80.11
1758187203.145,13.8658,17.5524,-0.088051,0.0171,0,194,-80.11
1758187203.165,9.1328,15.1517,-0.088051,0.0151,0,171,-50.09
1758187203.185,9.1328,15.1517,-0.088051,0.0135,0,153,-48.32
1758187203.205,9.1328,15.1517,0.000000,0.0122,0,138,-48.30
1758187203.225,9.1328,15.1517,0.000000,0.0111,0,125,-48.30
1758187203.245,9.1328,15.1517,0.000000,0.0102,0,116,-48.30
1758187203.265,7.5223,13.1437,0.000000,0.0095,0,108,-17.44
1758187203.285,7.5223,13.1437,0.000000,0.0092,0,104,-16.44
1758187203.305,7.5223,13.1437,0.000000,0.0090,0,102,-16.43
1758187203.325,7.5223,13.1437,0.000000,0.0088,0,100,-16.43
1758187203.345,7.5223,13.1437,0.000000,0.0088,0,100,-16.43
1758187203.365,5.6132,11.1417,0.000000,0.0088,0,100,-19.22
1758187203.385,5.6132,11.1417,0.000000,0.0088,0,100,-19.28
1758187203.405,5.6132,11.1417,0.000000,0.0088,0,100,-19.28
1758187203.425,5.6132,11.1417,0.000000,0.0088,0,100,-19.28
1758187203.445,5.6132,11.1417,0.000000,0.0088,0,100,-19.28
1758187203.465,6.3902,10.0024,0.000000,0.0088,0,100,7.57
1758187203.485,6.3902,10.0024,0.000000,0.0088,0,100,7.93
1758187203.505,6.3902,10.0024,0.000000,0.0088,0,100,7.93
1758187203.525,6.3902,10.0024,0.000000,0.0088,0,100,7.93
1758187203.545,6.3902,10.0024,0.000000,0.0088,0,100,7.93
1758187203.565,9.2679,9.9986,0.000000,0.0088,0,100,28.91
1758187203.585,9.2679,9.9986,0.000000,0.0088,0,100,29.07
1758187203.605,9.2679,9.9986,0.000000,0.0088,0,100,29.07
1758187203.625,9.2679,9.9986,0.000000,0.0088,0,100,29.07
1758187203.645,9.2679,9.9986,0.000000,0.0088,0,100,29.07
1758187203.665,10.9965,10.3562,0.000000,0.0088,0,100,17.40
1758187203.685,10.9965,10.3562,0.000000,0.0088,0,100,17.29
1758187203.705,10.9965,10.3562,0.000000,0.0088,0,100,17.29
1758187203.725,10.9965,10.3562,0.000000,0.0088,0,100,17.29
1758187203.745,10.9965,10.3562,0.000000,0.0088,0,100,17.29
1758187203.765,18.1846,12.7625,0.000000,0.0088,0,100,69.52
1758187203.785,18.1846,12.7625,0.000000,0.0088,0,100,70.46
1758187203.805,18.1846,12.7625,0.000000,0.0088,0,100,70.47
1758187203.825,18.1846,12.7625,0.000000,0.0088,0,100,70.47
1758187203.845,26.3183,16.6598,0.000000,0.0088,-140,100,78.32
1758187203.865,26.3183,16.6598,-0.044026,0.0082,-89,93,88.31
1758187203.885,26.3183,16.6598,-0.088051,0.0067,-89,76,88.41
1758187203.905,26.3183,16.6598,-0.088051,0.0046,-89,52,88.41
1758187203.925,26.3183,16.6598,-0.088051,0.0021,-89,23,88.41
1758187203.945,24.2407,18.4252,-0.176103,-0.0011,-80,-12,13.48
1758187203.965,24.2407,18.4252,-0.176103,-0.0042,-80,-48,-20.74
1758187203.985,24.2407,18.4252,-0.176103,-0.0077,-80,-89,-21.20
